-
-
-
-
Ich bin beschäftigt. (mask);أَنَا مَشغُول
Ich bin beschäftigt. (fem);أَنَا مَشغُولَة
Guten Morgen!;صَبَاح الخَير
Papier;وَرَق
sehr gern;بِكُلّ سُرُور
Es tut mir leid. (mask);أَنَا آسِف
Auf Wiedersehen!;إِلَى اللِّقَاء
Dienst(-leistung);خِدمَة
gut!;طَيِّب
auf;عَلَى
Schreibstift;قَلَم
Was kann ich für dich/Sie tun?;أَيَّة خِدمَة
Zeit;وَقت
Tasche;شَنطَة
Es tut mir leid. (fem);أَنَا آسِفَة
Salih;صَالِح
Laila;لَيلَى
(Antwort auf) Guten Morgen!;صَبَاح النُّور
Ich benötige …;أَبا بِحَاجَة
vielen Dank;شُكراً جَزِيلاً
jetzt;الاَن
