زيارة;Besuch
وضع / أوضاع;Lage, Situation
قابل;jn treffen
نظام / نُظُم / أنظمة;Regime, System
لقاء / ات;Treffen, Meeting
مؤتمر;Konferenz
قمة / قمم;Gipfelkonferenz
اجتماع دوري;regelmäßiges Treffen
اجتماع طارئ;Krisentreffen
رئيس / رؤساء;Präsident
زعيم / زعماء;Leiter, Chef
قائد / قادة;Leiter, Chef (II)
مفاوض;Verhandler
عضو / أعضاء;Mitglied
وجّه الدعوة إلى;einladen
عقد / يعقِد;abhalten
استضاف;veranstalten, ausrichten
افتتح;einweihen, feierlich eröffnen
شارك في;teilnehmen
حضر / يحضر / حضور;besuchen, beiwohnen
جدول أعمال;Agenda
اتفاقية;Abkommen, Vereinbarung
ميثاق;Charta, Urkunde
بيان;Stellungnahme, Erklärung
إعلان;Deklaration, Erklärung
مباحثات;Gespräche, Besprechungen
مفاوضات;Verhandlungen
جرى / يجري;stattfinden
دار / يدور;stattfinden (II)
تناول;verhandeln, abhandeln
تطرق إلى;ansprechen
موضوع / مواضيع;Thema, Aspekt
قضية / قضايا;Thema, Angelegenheit
سبيل / سبل;Weg, Mittel
اتصال ب;Verbindung mit
دعا / يعدو / دعوة إلى;etw. fordern, etw. verlangen
مسألة / مسائل;Streitpunkt, Aspekt
جانب / جوانب;Partei, Seite (II)
مسألة / مسائل;Frage, Sachverhalt
اختتم;abschließen, beenden
محادثات;Gespräche, Besprechungen
طرف / أطراف;Partei, Seite
اجتماع;Treffen, Meeting
أجرى (محادثات);(Gespräche) abhalten
-
حضارة;Zivilisation
طريقة / طرق;Weg, Mittel
انعقد;abgehalten werden
جلسة;Sitzung
بيان ختامي;Abschlusserklärung
-
-
-
